id	raw_category	nyu40id	NYU40 Mapping		Eigen Mapping		RIO27 Mapping		RIO7 Mapping	#sum	#train	#test	#val
1	air conditioner	40	otherprop	7	Objects	26	object	0	-	32	32	3	0
2	apron	40	otherprop	7	Objects	14	clothes	0	-	4	4	0	0
3	aquarium	40	otherprop	7	Objects	26	object	0	-	4	4	0	0
4	armchair	5	chair	4	Chair	5	chair	1	seating	375	332	38	43
5	armoire	3	cabinet	6	Furniture	3	cabinet	0	-	5	0	0	5
6	armor	40	otherprop	7	Objects	14	clothes	0	-	4	4	0	0
7	audio system	40	otherprop	7	Objects	26	object	0	-	2	2	0	0
8	baby bed	39	otherfurniture	6	Furniture	0	-	0	-	8	8	0	0
9	baby changing table	7	table	10	Table	7	table	0	-	2	2	0	0
10	baby changing unit	39	otherfurniture	6	Furniture	7	table	0	-	8	8	0	0
11	baby gym	39	otherfurniture	6	Furniture	0	-	0	-	2	2	0	0
12	baby seat	5	chair	4	Chair	5	chair	0	-	3	3	0	0
13	baby toys	40	otherprop	7	Objects	26	object	0	-	4	4	0	0
14	backpack	40	otherprop	7	Objects	26	object	6	items	110	106	22	4
15	bag	37	bag	7	Objects	26	object	6	items	458	422	62	36
16	balcony	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
17	balcony door	8	door	0	-	8	door	0	-	12	12	0	0
18	ball	40	otherprop	7	Objects	0	-	6	items	18	14	9	4
19	bar	38	otherstructure	0	-	10	counter	0	-	30	27	0	3
20	bar stool	5	chair	4	Chair	5	chair	0	-	14	14	0	0
21	barrel	40	otherprop	7	Objects	0	-	0	-	11	11	0	0
22	barstool	40	otherprop	7	Objects	5	chair	0	-	7	7	0	0
23	basin	40	otherprop	7	Objects	0	-	0	-	9	6	0	3
24	basket	40	otherprop	7	Objects	20	box	0	-	237	227	8	10
25	bath cabinet	3	cabinet	6	Furniture	3	cabinet	2	table / cabinet	156	132	9	24
26	bath counter	12	counter	6	Furniture	10	counter	0	-	3	3	0	0
27	bath rack	15	shelves	6	Furniture	11	shelf	0	-	2	2	0	0
28	bath robe	40	otherprop	7	Objects	0	-	0	-	6	6	0	0
29	bathrobe	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
30	bathroom items	40	otherprop	7	Objects	0	-	0	-	0	0	5	0
31	bathtub	36	bathtub	6	Furniture	25	bathtub	0	-	58	54	5	4
32	bbq	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
33	beam	38	otherstructure	0	-	0	-	0	-	3	3	0	0
34	bean bag	39	otherfurniture	6	Furniture	26	object	5	cushions	10	10	6	0
35	beanbag	39	otherfurniture	6	Furniture	26	object	0	-	30	30	0	0
36	beautician	40	otherprop	7	Objects	0	-	0	-	1	1	2	0
37	bed	4	bed	1	Bed	4	bed	3	bed / sofa	232	226	44	6
38	bed table	7	table	10	Table	7	table	2	table / cabinet	1	1	2	0
39	bedside table	7	table	10	Table	7	table	2	table / cabinet	36	32	13	4
40	bench	39	otherfurniture	6	Furniture	5	chair	1	seating	203	185	30	18
41	beverage crate	29	box	7	Objects	20	box	0	-	39	39	0	0
42	bicycle	40	otherprop	7	Objects	0	-	6	items	10	10	135	0
43	bidet	40	otherprop	7	Objects	0	-	4	appliances	11	9	0	2
44	bike	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
45	bin	40	otherprop	7	Objects	26	object	6	items	57	55	10	2
46	blackboard	38	otherstructure	0	-	1	wall	0	-	27	27	0	0
47	blanket	40	otherprop	7	Objects	27	blanket	6	items	322	278	14	44
48	blinds	13	blinds	7	Objects	9	window	0	-	152	148	17	4
49	board	38	otherstructure	0	-	26	object	0	-	28	23	5	5
50	body loofah	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
51	boiler	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
52	book	23	books	2	Books	0	-	0	-	56	41	5	15
53	books	40	otherprop	7	Objects	0	-	0	-	30	25	3	5
54	bookshelf	10	bookshelf	6	Furniture	11	shelf	0	-	37	30	9	7
55	boots	40	otherprop	7	Objects	0	-	0	-	13	13	0	0
56	bottle	40	otherprop	7	Objects	0	-	0	-	61	57	0	4
57	bottles	40	otherprop	7	Objects	0	-	0	-	12	12	0	0
58	bowl	40	otherprop	7	Objects	26	object	0	-	46	46	2	0
59	box	29	box	7	Objects	20	box	6	items	1511	1403	203	108
60	boxes	29	box	7	Objects	20	box	6	items	51	50	9	1
61	bread	40	otherprop	7	Objects	0	-	0	-	7	6	0	1
62	breadboard	40	otherprop	7	Objects	0	-	0	-	7	7	0	0
63	brochure	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
64	brush	40	otherprop	7	Objects	0	-	0	-	1	1	0	0
65	bucket	40	otherprop	7	Objects	20	box	0	-	141	134	3	7
66	buggy	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
67	bulletin board	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
68	cabinet	3	cabinet	6	Furniture	3	cabinet	2	table / cabinet	609	481	64	128
69	cable	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
70	cable rack	15	shelves	6	Furniture	0	-	0	-	0	0	8	0
71	calendar	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
72	can	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
73	candle	40	otherprop	7	Objects	0	-	0	-	40	40	9	0
74	candles	40	otherprop	7	Objects	0	-	0	-	1	0	0	1
75	candlestick	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
76	canopy	40	otherprop	7	Objects	0	-	0	-	2	2	2	0
77	cap	40	otherprop	7	Objects	0	-	0	-	6	0	0	6
78	carpet	40	otherprop	7	Objects	2	floor	0	-	39	32	1	7
79	carriage	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
80	cart	40	otherprop	7	Objects	26	object	2	table / cabinet	2	0	5	2
81	case	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
82	ceiling	22	ceiling	3	Ceiling	15	ceiling	0	-	1246	1082	141	164
83	ceiling /other room	22	ceiling	3	Ceiling	15	ceiling	0	-	1	0	0	1
84	ceiling light	35	lamp	7	Objects	24	lamp	0	-	12	12	0	0
85	chair	5	chair	4	Chair	5	chair	1	seating	2169	1975	456	194
86	chairs	5	chair	4	Chair	5	chair	0	-	8	8	0	0
87	chandelier	35	lamp	0	-	24	lamp	0	-	12	9	0	3
88	changing table	7	table	10	Table	7	table	0	-	3	3	0	0
89	chest	39	otherfurniture	6	Furniture	0	-	6	items	4	0	0	4
90	child chair	5	chair	4	Chair	5	chair	1	seating	0	0	3	0
91	child clothes	21	clothes	7	Objects	14	clothes	0	-	4	4	0	0
92	children's table	7	table	10	Table	7	table	0	-	4	4	0	0
93	cleaning agent	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
94	cleaning brush	40	otherprop	7	Objects	0	-	0	-	1	1	0	0
95	cleanser	40	otherprop	7	Objects	0	-	0	-	9	3	0	6
96	clock	40	otherprop	7	Objects	0	-	0	-	58	38	7	20
97	closet	39	otherfurniture	6	Furniture	3	cabinet	0	-	25	23	0	2
98	closet door	8	door	0	-	8	door	0	-	2	2	0	0
99	cloth	40	otherprop	7	Objects	14	clothes	0	-	2	2	0	0
100	clothes	21	clothes	7	Objects	14	clothes	0	-	380	359	51	21
101	clothes dryer	40	otherprop	7	Objects	0	-	0	-	70	68	4	2
102	clothes rack	15	shelves	6	Furniture	0	-	0	-	2	2	0	0
103	clutter	40	otherprop	7	Objects	0	-	6	items	153	121	34	32
104	coat	40	otherprop	7	Objects	14	clothes	0	-	12	12	0	0
105	coffee	40	otherprop	7	Objects	0	-	0	-	1	1	0	0
106	coffee machine	40	otherprop	7	Objects	26	object	0	-	28	25	1	3
